,Sermons,Dates,Description,Links
511,The Secret Of Receiving A Miracle From God ,24 December 2006,"Have you been asking God for something - a child, healing, or a financial breakthrough - and yet don&#039;t seem to be getting any answers? Are you almost ready to give up on praying and petitioning? Well, don&#039;t! Renew your faith with this message by Joseph Prince. He reveals God&#039;s heart on providing for His children, and how God has already supplied whatever you need. All you require is the key to unlock the door to all His goodness. Listen and learn that your miracle is not dependent on you, but upon God&#039;s boundless love for and amazing grace towards you.
",https://www.josephprince.com/sermons/the-secret-of-receiving-a-miracle-from-god?sku=20061224M3
512,Hidden Secrets To Health In The Hebrew Language ,10 December 2006,"To be healthy, the world tells you to exercise, watch your diet, take this new supplement… and there&#039;s always more that has to be done. God&#039;s ways are much simpler, and less tedious and painful. In this message, Joseph Prince delves into the Hebrew language and uncovers God&#039;s secrets to being healthy hidden in the Hebrew alphabet and words. They are practical and filled with God&#039;s love for you. Live a life free from unnecessary stress, cares and anxieties. Listen with an open heart, find out why health and wholeness is your legal inheritance, and have your faith strengthened to claim, receive and keep it!
",https://www.josephprince.com/sermons/hidden-secrets-to-health-in-the-hebrew-language?sku=20061210VJ
513,Secrets Of Grace For Marriage Found In Hebrew Letters ,7 December 2006,"Every marriage needs a third party. But before you get all flustered, know that this essential third party is God, not another man or woman. God designed marriage to bless you. It&#039;s a dynamic union, one which can go horribly wrong if you ignore the God-factor. In a fascinating study of several Hebrew words and the letters they are made up of, Joseph Prince unearths simple, practical and powerful truths that God has hidden to help couples develop solid, happy and healthy marriages. Knowing God&#039;s heart concerning marriage will also help you better understand Jesus&#039; relationship with you and the church, His bride.
",https://www.josephprince.com/sermons/secrets-of-grace-for-marriage-found-in-hebrew-letters?sku=20061207VJ
514,Look At The Bronze Serpent—God's Provision For Your Every Need ,3 December 2006,"When the Israelites were bitten by snakes in the wilderness, God&#039;s solution was for Moses to set a bronze serpent on a pole. Those who looked away from their snakebites and looked at the bronze serpent lived. Today, God&#039;s answer to your challenge is just as simple - stop looking at your problem, look to the cross. Through a study of key words used in this Old Testament story, Joseph Prince unveils startling truths about the fullness of God&#039;s provision for us today. Listen and realise that your every need has already been taken care of by Jesus at the cross.
",https://www.josephprince.com/sermons/look-at-the-bronze-serpent-gods-provision-for-your-every-need?sku=20061203VJ
515,Secrets Of Grace Found In Hebrew Letters ,30 November 2006,"Did you know that there are pictures of Jesus hidden in the Hebrew alphabet and in certain Hebrew words? And that they all point to His perfect work on the cross? There is no insignificant detail in the Bible, so get this revelation-packed message where Joseph Prince interprets selected words from the Bible. See how the Hebrew letters that make up these words not only have rich significance and meaning, but also contain important keys to that breakthrough you need. You will definitely be blessed by the precious insights into the extent of God&#039;s amazing grace and love for you!
",https://www.josephprince.com/sermons/secrets-of-grace-found-in-hebrew-letters?sku=20061130VJ
516,The Prophetic Significance Of The Healing Miracles In Matthew 8 ,26 November 2006,"Would you like to get an idea of what is going to happen in Christendom in the days to come? In this eye-opener of a message, Joseph Prince gives you a peek into God&#039;s divine plan for His children. Through the sequence of healing miracles in Matthew 8, Joseph Prince not only shows that Jesus still heals today, and the way in which He does it, but he also gives you a better understanding of what&#039;s happening in the world and in Christian communities around the world in the light of God&#039;s plan. So get this message and be in the know!
",https://www.josephprince.com/sermons/the-prophetic-significance-of-the-healing-miracles-in-matthew-8?sku=20061126M3
517,#2 See The Father's Love For You ,12 November 2006,NIL,https://www.josephprince.com/sermons/2-see-the-fathers-love-for-you?sku=20061112VJ
518,#1 See The Father's Love For You ,5 November 2006,"Jesus came to reveal the most awesome name of God - Father - to His people and it is an awesome name for good reason: A father&#039;s love goes a long way in making a person whole and strong. In these last days, we need to know this more than ever. In this powerful message, Joseph Prince carefully delves and mines the Bible&#039;s parable of parables - the story of the prodigal son - to open up fresh revelations about our Father&#039;s deep and unending love for us. As you listen, you will feel your heavenly Father&#039;s love wash over you, surrounding and tenderly embracing you into wholeness!",https://www.josephprince.com/sermons/1-see-the-fathers-love-for-you?sku=20061105VJ
519,The Secret Of Happiness ,3 November 2006,"Everyone wants to be happy. But how many people actually are? In truth, happiness has nothing to do with your circumstances. It is not outside you but inside, and dependent on what you believe. And what you believe has the power to influence your surroundings. Listen to this mind-blowing message by Joseph Prince and find out how you can have things happening the way you want them to happen. Once you grasp this secret, happiness will no longer be elusive and you will find circumstances aligning themselves with how you want them to be!
",https://www.josephprince.com/sermons/the-secret-of-happiness?sku=20061103M3
520,#5 The Secrets Of Divine Strength And Youthfulness - The Secret Of Caleb ,15 October 2006,"At the age of 85, Caleb declared that he was as strong as he had been at the age of 40, not just for daily activities, but even for war! And he proved it by claiming a whole mountain and driving out the giants who lived there. In fact, God liked Caleb&#039;s spirit so much, He called him a man of a &#039;different spirit&#039;. Listen to this message by Joseph Prince and be blessed to discover how you too can have a &#039;different spirit&#039; today and claim your mountain with the divine strength that only God can provide.",https://www.josephprince.com/sermons/5-the-secrets-of-divine-strength-and-youthfulness-the-secret-of-caleb?sku=20061015VJ
521,#4 The Secrets Of Divine Strength And Youthfulness - The Secret Of Moses ,13 October 2006,"The Bible says that when Moses died at the age of 120, it wasn&#039;t because of sickness and disease! His body was still strong and his eyesight keen. Get this message and listen in wonder as Joseph Prince uncovers amazing truths about the glories of Jesus concealed in the original Hebrew and Greek languages from Genesis to Revelation - all in one sermon! Know this: If Moses could experience such a blessing under the old covenant, how much more you, a beloved child of God under the new covenant of grace!",https://www.josephprince.com/sermons/4-the-secrets-of-divine-strength-and-youthfulness-the-secret-of-moses?sku=20061013VJ
522,#3 The Secrets Of Divine Strength And Youthfulness - Secrets of Sarah ,8 October 2006,"Sarah was the only woman in the Bible who had her youth renewed - literally - in her old age, such that two kings wanted her for their harems! She even conceived and bore the son that God had promised her and Abraham so many years ago. Do you know that today God calls believing women &#039;daughters of Sarah&#039;? Listen to this powerful message and find out what happened to Sarah that caused her physical body to change, and how she received supernatural strength in her womb to conceive seed. The truths revealed will charge you up spiritually and give you the faith to receive the literal renewal of youth and every breakthrough you are believing God for today!",https://www.josephprince.com/sermons/3-the-secrets-of-divine-strength-and-youthfulness-secrets-of-sarah?sku=20061008VJ
523,#2 The Secrets Of Divine Strength And Youthfulness ,1 October 2006,"Have you been listening to God&#039;s blessings being preached and wondering how you too can receive them? Do you see fellow Christians experiencing these blessings in their lives? Are you ready to let all of God&#039;s goodness explode in your life? If your answer is a resounding &#039;yes!&#039; then get this sermon by Joseph Prince! You will come away from it knowing, without a shadow of a doubt, what your true inheritance is in Christ, encouraged to &#039;forget not all&#039; God&#039;s benefits - including the renewal of youth and divine strength - and possessing the secret to making them manifest in your life and situation.
",https://www.josephprince.com/sermons/2-the-secrets-of-divine-strength-and-youthfulness?sku=20061001M3
524,The Spirit Of Sonship In The Benjamin Generation ,29 September 2006,"Just like the tribe of Benjamin should have driven out the Jebusites to possess their city of peace, we, the end-time, or Benjamin, generation, have to drive out spiritual &#039;Jebusites&#039; from our lives to possess the peace and wholeness that Jesus came to give us. In this message, discover what the modern-day &#039;Jebusites&#039; are that need to be vanquished from our lives, as Joseph Prince draws on Old Testament symbols to show forth a fresh revelation of Jesus&#039; victory at the cross. This is a powerful message that you cannot afford to miss. It will show you how to take your rightful place as a beloved son of God in Christ Jesus, and exercise the authority our Father has already given to you!
",https://www.josephprince.com/sermons/the-spirit-of-sonship-in-the-benjamin-generation?sku=20060929M3
525,#1 The Secrets Of Divine Strength And Youthfulness ,24 September 2006,"&#039;I&#039;m forgetful. My memory is not like what it was 10 years ago. I must be getting old.&#039; If this is what you&#039;ve been saying, it is time to stop believing what the world says about aging. Tune in to God&#039;s Word and be astounded by the Bible truths shared by Joseph Prince in this message and learn how you can have the Lord renew your youth and rejuvenate your body. You will be amazed to know that your physical strength need not be limited by your chronological age when you discover the secrets of divine strength and youthfulness.
",https://www.josephprince.com/sermons/1-the-secrets-of-divine-strength-and-youthfulness?sku=20060924M3
526,Jesus Became Your Overpayment To Give You Settled Peace ,17 September 2006,"Do you know that as a believer, you have every right to be blessed by God? Today, God is absolutely righteous and just to bless you beyond your wildest dreams! Why? Because Jesus has paid off all your sin debts to God on the cross. In fact, due to the immense value of His person, Jesus was an overpayment for your sins, and His sacrifice more than satisfied God&#039;s justice. Listen to this message and have settled peace in your heart, knowing how totally forgiven and accepted by God Christ&#039;s finished work has made you.
",https://www.josephprince.com/sermons/jesus-became-your-overpayment-to-give-you-settled-peace?sku=20060917M3
527,How Jesus Has Released You From The Fear Of Death ,27 August 2006,"Are you afraid of being sick, meeting with horrific accidents, or dying? Know that these fears are the devil&#039;s tactic to keep us from living the victorious life that Christ died to give us. The truth is that death no longer has dominion over us who were crucified, died and rose again in Christ. In this bondage-breaking, fear-shattering message, Pastor Joseph Prince explains how when Jesus died for us and as us on the cross, He stripped the devil of every power to hurt and kill us. Today, we are seated in Him at the Father&#039;s right hand, way out of the devil&#039;s reach!
",https://www.josephprince.com/sermons/how-jesus-has-released-you-from-the-fear-of-death?sku=20060827M3
528,The Grace Of God In The Law Of The High Priest's Valuation ,25 August 2006,"In the Old Covenant, if a person wished to be dedicated to God, a specific amount of money had to be paid to the temple. However, if the person could not afford the amount, God still made a way for him. Today, Jesus is your High Priest and He pronounces you worthy before God. Listen to this message and know that God does not judge you based on the value of your person or behaviour, but based on the riches of His grace and His perfect valuation of Jesus&#039; work on the cross. You will come to realise just how valuable you are in His loving eyes.
",https://www.josephprince.com/sermons/the-grace-of-god-in-the-law-of-the-high-priests-valuation?sku=20060825M3
529,God's Crown Of Glory Will Cause You To Have Dominion In Life ,20 August 2006,"God has given you dominion in life. What does that really mean? In this sermon, Pastor Joseph Prince explains how through Christ&#039;s finished work, God has restored to us the glory and honour that Adam lost in the garden. It is this glory, which is not just splendour and majesty, but the good opinion of God Himself, that gives us the power to have dominion. And as you begin to see yourself through God&#039;s eyes, the reality that you are now a king and priest in Christ will rise up inside you, and cause you to effectively wield this awesome dominion that God has given you!
",https://www.josephprince.com/sermons/gods-crown-of-glory-will-cause-you-to-have-dominion-in-life?sku=20060820CJ
530,The Grain Offering With Leaven Is Accepted Because God Has Condemned Sin In Your Flesh ,17 August 2006,"How accepted do you think you are before God today? Will your bad thoughts, quick temper or selfish actions cause God to condemn you? The Bible tells us that as a believer, your identity is wrapped up in Christ. God sees you in His beloved Son, and nothing you do, or don&#039;t do, can separate you from Him. In this enlightening message, Pastor Joseph Prince reveals how the new grain offering with leaven - a symbol for sin - that God instituted in the Old Testament was meant to show that you are still a delight to Him despite the failures in your behaviour!
",https://www.josephprince.com/sermons/the-grain-offering-with-leaven-is-accepted-because-god-has-condemned-sin-in-your-flesh?sku=20060817M3
531,God Has Condemned Sin In The Flesh - What It Means ,13 August 2006,"When you struggle with sinful thoughts and impulses even after being saved, don&#039;t despair! Know that it is called sin in your flesh, and even the best of us - the Apostle Paul - struggled with it and overcame it by understanding the power of Jesus&#039; finished work. In this powerful message, Pastor Joseph Prince sheds light on how God has already dealt with this issue on the cross. God condemned sin in the flesh so that it no longer has the power to condemn you, or separate you from Him. This revolutionary truth will help you understand how righteous you are before God and enable you to walk in true holiness and go boldly into His presence.
",https://www.josephprince.com/sermons/god-has-condemned-sin-in-the-flesh-what-it-means?sku=20060813M3
532,Eat God's Way And Get Divine Results ,4 August 2006,"The best path to weight loss is not the diet you choose. It&#039;s whether you honour your God-given responses of hunger and fullness. Listen to this timely and practical message by Joseph Prince, and discover how your body was designed to be filled with both spiritual and physical food. When you learn to eat God&#039;s way, using His principles for feeding, you don&#039;t just keep the weight off, but will also walk in divine health. So now, you truly can have your cake and eat it too!
",https://www.josephprince.com/sermons/eat-gods-way-and-get-divine-results?sku=20060804M3
533,Nuggets Of God's Grace In The Feeding Of The Five Thousand ,30 July 2006,"The feeding of the 5,000 happened despite the disciples&#039; lack of faith in looking at their limited resources and the greatness of the need. Why? Because God&#039;s supply and blessings are given through grace! Listen to this message and discover the amazing secrets behind the numbers, words and actions specified in John&#039;s account of this miracle. God&#039;s superabundant grace will break your poverty mindset as you see how inexhaustible His provision is, and how willing He is to give to you!
",https://www.josephprince.com/sermons/nuggets-of-gods-grace-in-the-feeding-of-the-five-thousand?sku=20060730M3
534,What You Honour And Bless Increases ,23 July 2006,"When you give weight to a person&#039;s presence and words, you are actually blessing that person. Conversely, when you make light of a person&#039;s presence and words, you are actually cursing the person. Whatever you bless flourishes and whatever you curse diminishes. So if the devil throws sickness or financial lack your way, don&#039;t give weight to his words and works. Ignore them. Listen to this message and discover that when you begin to pay attention to God and His Word, blessings also begin to abound in your life.
",https://www.josephprince.com/sermons/what-you-honour-and-bless-increases?sku=20060723M3
535,There Is Superabounding Favour To Lift You Up When You Fall ,21 July 2006,"God&#039;s favour flows in your life, especially when you fail. &#039;How can that be?&#039; you ask. &#039;Aren&#039;t I most undeserving when I fail?&#039; No, the Bible clearly shows that where sin abounds, grace, God&#039;s undeserved, unmerited favour, superabounds. Listen to this message, and see the evidence for yourself in the life stories of Abraham, Isaac and Jacob. In spite of their failings, they emerged richly blessed! So don&#039;t throw in the towel when you fail. Learn to reach out for God&#039;s grace, and come out even more blessed!
",https://www.josephprince.com/sermons/there-is-superabounding-favour-to-lift-you-up-when-you-fall?sku=20060721M3
536,Bring Back Jesus The Ark In The Context Of Grace ,16 July 2006,"David was called &#039;a man after God&#039;s own heart&#039; because he desired to bring the Ark, which represents the person and finished work of Jesus, back to Zion. In the new covenant, we likewise are in alignment with God&#039;s plans and purposes when we put our trust and hope in His grace, and desire to put Jesus in the centre of everything. When you value Jesus and give Him first place in your life, you will experience the fullness of God&#039;s blessings!",https://www.josephprince.com/sermons/bring-back-jesus-the-ark-in-the-context-of-grace?sku=20060716VJ
537,How To Possess What Is Already Yours - The Story Of Jeremiah's Land Purchase ,13 July 2006,"What proof is there that Jesus has redeemed you from the curse of the law? How do you know for sure that all the blessings Jesus died to give the believer belong to you today? The answers can be found in the story of Jeremiah&#039;s land purchase. Listen to this message, and be amazed by the startling truths hidden in this Bible story about Jesus as our Redeemer. You will be blessed to discover what the &#039;evidence of purchase&#039; is, and it will empower you to take possession of what you already have in Him!
",https://www.josephprince.com/sermons/how-to-possess-what-is-already-yours-the-story-of-jeremiahs-land-purchase?sku=20060713M3
538,The Significance Of The Olive Leaf In The Dove's Mouth ,9 July 2006,"The dove with an olive leaf is universally recognised as a symbol of peace. But did you know that it came from the Bible? And that today it means that you are His beloved and that God is well-pleased with you? Listen to this revolutionary message, and you can&#039;t help but be touched when you discover how much God loves you, and the extents to which He went to make sure His beloved are blessed in every area of their lives!
",https://www.josephprince.com/sermons/the-significance-of-the-olive-leaf-in-the-doves-mouth?sku=20060709M3
539,A Study On The Blessings Of God ,25 June 2006,"Do you want to walk in a greater measure of God&#039;s blessings? Then be passionate about the various blessings of God found in the Bible. Study them carefully and, more importantly, the key to possessing them. If you think that you don&#039;t qualify for God&#039;s blessings and feel that you have been living a cursed life, then get this message and be astounded by the truth!
",https://www.josephprince.com/sermons/a-study-on-the-blessings-of-god?sku=20060625M3
540,How Worship Puts You In A Receiving Mode For God's Wisdom ,28 May 2006,"When King Saul was oppressed by an evil sprit of sadness and depression, it was anointed music from David&#039;s harp that refreshed him. Similarly when we begin to speak in psalms, hymns and spiritual songs, or sing and make melodies in our hearts to the Lord, that worshipful posture actually puts us in a mode to receive God&#039;s shalom and wisdom. So if you are facing some challenges today, listen to this powerful message and find out how you can start tuning in to God&#039;s wisdom!
",https://www.josephprince.com/sermons/how-worship-puts-you-in-a-receiving-mode-for-gods-wisdom?sku=20060528M3
541,The Importance Of Names In The Bible ,25 May 2006,"Like numbers, names in the Bible have significance. Knowing what they mean in a passage can give us a deeper revelation of that passage. For example, understanding what the names Simeon and Anna in Luke 2:25—38 mean will give us greater insight into how Jesus&#039; coming points to the end of the law and the beginning of grace. Listen to this message to find out more and see how wisdom can be gained through the study of names in the Bible.
",https://www.josephprince.com/sermons/the-importance-of-names-in-the-bible?sku=20060525M3
542,Wisdom And Madda (Inner Consciousness) ,21 May 2006,"Do you want to make wise, Spirit-led decisions in your life? Then learn to flow with your madda or inner consciousness. Don&#039;t just reason things out in your head and ignore what the anointing within you is saying. Don&#039;t just go by what you see and hear, but learn to perceive the truth through your spirit. Get this message, and start walking in a greater measure of wisdom and discernment.
",https://www.josephprince.com/sermons/wisdom-and-madda-inner-consciousness?sku=20060521M3
543,Catch The Spirit Of Wisdom From The Word ,18 May 2006,"Joshua was already full of the spirit of wisdom because Moses had laid hands on him. Yet, God told him to meditate on the Word so that he would prosper and have good success. This shows that even if you have wisdom, you must still spend time in the Word and not think that you can do without it. Listen to this message and learn how the Word is able to impart wisdom to those who study it and meditate on it.
",https://www.josephprince.com/sermons/catch-the-spirit-of-wisdom-from-the-word?sku=20060518M3
544,When You Sit Still He Will Not Rest ,14 May 2006,"Blessings flow naturally in the lives of those who know how to rest in the grace of God! Join Pastor Prince as he explains why you can rest in all that Christ has accomplished for you at the cross. Discover how true biblical rest always produces Spirit-directed activity and releases the grace of God to act powerfully on your behalf. Cast your cares on your loving Savior today, and expect to see Him heal, provide and restore to you as you rest in Him!
",https://www.josephprince.com/sermons/when-you-sit-still-he-will-not-rest?sku=20060514M3
545,Hearing God Through Your Heart And Those Around You ,30 April 2006,"Solomon, the wisest and richest man who ever lived, did not actually ask God for wisdom. He asked God for &#039;an understanding heart&#039; or a hearing heart. What is a hearing heart and why should you ask God for one too? Get the answers in this message and hear what the Spirit of the Lord is saying to you today through your heart and even those around you.
",https://www.josephprince.com/sermons/hearing-god-through-your-heart-and-those-around-you?sku=20060430M3
546,Love With All Discernment And Revelation Knowledge ,28 April 2006,"When do we turn the other cheek and when do we bring a brother to court? Do we have to lend to all who ask for money? Listen to this message to understand the difference between human honey and Godly love with discernment, and what Jesus meant when He told His disciples to &#039;be wise as serpents and harmless as doves&#039;.
",https://www.josephprince.com/sermons/love-with-all-discernment-and-revelation-knowledge?sku=20060428M3
547,The Lord Will Give You A Mouth And Wisdom For Every Situation In Your Life ,23 April 2006,"God&#039;s wisdom excels the wisdom of the world, and in His Word, He has already declared that He will give believers His wisdom to deal with all aspects of their lives, especially when faced with a crisis or stressful situation. So what are you waiting for? Listen to this message and find out why it pleases God when you ask Him for wisdom, and how His wisdom will not only help you out of a crisis, but also bless you with riches and honour.
",https://www.josephprince.com/sermons/the-lord-will-give-you-a-mouth-and-wisdom-for-every-situation-in-your-life?sku=20060423M3
548,The Voice Of Grace Will Shake Off All That Is Man-made ,21 April 2006,"In Hebrews 12: 25—27, the Bible says God will shake both the earth and heaven. Sounds frightening, but what does it really mean? Find out in this sermon what this shaking is all about, and why Christians need not fear it but should rejoice instead. It is because the shaking will remove everything that is not of God from a believer&#039;s life, including sickness, poverty and any weapon that is formed by the devil.
",https://www.josephprince.com/sermons/the-voice-of-grace-will-shake-off-all-that-is-man-made?sku=20060421M3
549,Shepherd And Sheep - The Secret To The Abundant Life ,16 April 2006,"The Lord is many things to a believer - Saviour, provider, healer, lover - but most of all, He wants to be your Shepherd. It is when you take your place as a sheep and rely on Jesus as your good Shepherd that the abundant life He came to give you will become a reality. Hear this message and realise all the blessings and privileges that belong to you as a sheep in Jesus&#039; flock.",https://www.josephprince.com/sermons/shepherd-and-sheep-the-secret-to-the-abundant-life?sku=20060416VJ
550,When You Are Led By The Spirit You Fulfill The Bible ,2 April 2006,"You can make decisions based on scriptures you know and still make mistakes. That is because God wants us to be led by the Spirit, not scriptures. The Holy Spirit will tell you how, when and which scriptures to apply in a given situation. Listen to this message and gain fresh insights into how the Spirit flows and how you can flow with Him. When you are led by the Spirit, you will not only be led out of bondage into victory, you will fulfil the Word as well!
",https://www.josephprince.com/sermons/when-you-are-led-by-the-spirit-you-fulfill-the-bible?sku=20060402M3
551,How Grace Is Cheapened ,30 March 2006,"Let&#039;s say you win the top prize of $100,000 in a contest. That is certainly good news. But what if the organiser tells you that you will only receive the money in instalments, bit by bit over a 50-year period? Straightaway, the good news does not sound that good anymore. Thank God His forgiveness was not given like that! Listen to this message and find out how Christians cheapen God&#039;s grace when they say that He forgives us bit by bit on an instalment basis.
",https://www.josephprince.com/sermons/how-grace-is-cheapened?sku=20060330M3
552,Wait! Don't Try To Help God ,26 March 2006,"The trouble with many of us is that we can&#039;t wait. We want the blessings and we want them now! So if God is seems a bit slow in delivering on His promises, we try to help Him. Abram and Sarai, for instance, could not wait, and Ishmael, through Hagar, was the result. Listen to this message and find out why you should wait on God with a confident expectation that He will deliver as promised!
",https://www.josephprince.com/sermons/wait-dont-try-to-help-god?sku=20060326VJ
553,Sweat Leads To Anger! ,24 March 2006,"Do you know that if you have to “sweat” to get God’s blessings, you will only end up angry, troubled and disappointed? Find out in this message the Hebrew meanings for the words “sweat” and “face” in the verse “In the sweat of your face you shall eat bread…” (Genesis 3:19), and learn why God does not want you to “sweat” for His blessings!
",https://www.josephprince.com/sermons/sweat-leads-to-anger?sku=20060324M3
554,Why You Can Hope Against All Hope ,19 March 2006,"You have heard much preaching on faith, but what about hope? Hope actually comes before faith. Indeed, the Bible says that faith is the substance of things hoped for. So Abraham, for instance, did not just have faith. He also had hope. The Bible says that Abraham, against all hope, believed in hope, that he might become the father of many nations. Listen to this message and find out what hope means for the believer, and how, like Abraham, you can hope against all hope!
",https://www.josephprince.com/sermons/why-you-can-hope-against-all-hope?sku=20060319M3
555,Rest Is The Promised Land Of The Believer ,9 March 2006,"In the Old Testament, the promised land of Canaan was a place where God&#039;s people could live in houses they did not build and drink from wells they did not dig. In other words, they simply enjoyed a finished work. Today, the Christian&#039;s promised land is God&#039;s rest - where we cease from our own works and enjoy the benefits of Christ&#039;s finished work. Listen to this message, enter His rest and smell the roses!
",https://www.josephprince.com/sermons/rest-is-the-promised-land-of-the-believer?sku=20060309M3
556,"The Significance Of The Bells, Pomegranates, Urim And Thummim ",5 March 2006,"The garments worn by the high priest in the Old Testament are a visual representation of aspects of Jesus&#039; person as He is today in heaven. Bells and pomegranates ringed the hem of the garment in an alternating order, while the Urim and Thummim could be found in the breastplate, the most beautiful and expensive part of the garments. What do these four things actually speak of then? And what do they mean now? Find out in this message and be abundantly blessed!
",https://www.josephprince.com/sermons/the-significance-of-the-bells-pomegranates-urim-and-thummim?sku=20060305M3
557,Fine Linen For Cool Service ,2 March 2006,"In the Old Testament, God required His priests to be clothed in fine linen garments. They wore linen turbans and even had linen undergarments. But why linen and how does it apply to us His royal priesthood today? Get the revelations in this message and know why God wants you to stay cool!
",https://www.josephprince.com/sermons/fine-linen-for-cool-service?sku=20060302M3
558,Pray Perfect Prayers Through Your High Priest ,26 February 2006,"Many of us struggle with praying good, scriptural prayers. We may say the wrong things, revise our prayers many times, and so end up wondering if God has heard our prayers and accepted them. If you are such a Christian, this message is for you. It will set you free and give you the faith to pray again, knowing for sure that God accepts your every prayer! 
",https://www.josephprince.com/sermons/pray-perfect-prayers-through-your-high-priest?sku=20060226M3
559,Jesus With Us - The Table Of Showbread ,24 February 2006,"The table of showbread is one of the many important pieces of furniture in the tabernacle of Moses. The table is surrounded by a double crown and carries 12 pieces of showbread. Do you know why? Also, what does &#039;showbread&#039; mean in Hebrew? Get the answers and more in this message that will unveil truths about Christ, His work, His people and our communion with Him.
",https://www.josephprince.com/sermons/jesus-with-us-the-table-of-showbread?sku=20060224M3
560,He Gave Us His Beauty And Made Us A Part Of His Beauty ,19 February 2006,"The most beautiful part of the high priest&#039;s garments is the breastplate which carries all the precious gems. These gems speak of us, who have been made righteous and glorious, and placed in Jesus&#039; bosom of love. Get this message and learn how Jesus not only gave us His beauty, but also made us a great part of His beauty.
",https://www.josephprince.com/sermons/he-gave-us-his-beauty-and-made-us-a-part-of-his-beauty?sku=20060219M3
561,Grace Flows In Worry-Free Areas Of Your Life ,17 February 2006,"Have you noticed how the problem-free areas of your life are also your worry-free areas? God&#039;s grace seems to flow freely in those areas that you refuse to worry about. So, the devil&#039;s tactic is to get you to start worrying about things. Don&#039;t fall for his tricks. This message shows you why the smartest thing you can do is not to worry.
",https://www.josephprince.com/sermons/grace-flows-in-worry-free-areas-of-your-life?sku=20060217M3
562,The Benefits Of A Fire Tongue ,9 February 2006,"Paul instructed Timothy to stir up &#039;the gift of God&#039; dormant in him, which he received when Paul laid hands on him. What was this gift? Find out in this message, and discover how when we stir up or &#039;fan into a flame&#039; this gift, we will manifest the dunamis power, agape love and mental poise of the Holy Spirit.
",https://www.josephprince.com/sermons/the-benefits-of-a-fire-tongue?sku=20060209M3
563,Jesus As Our Real Identity ,5 February 2006,"If you&#039;ve wondered, &#039;How do I look before the Father?&#039; you&#039;ve been asking the wrong question! Instead, your question should be, &#039;How does Jesus my High Priest look before the Father?&#039; Why? Because as Jesus is before the Father today, so are you in this world. Is your High Priest accepted and favoured by the Father? Is He healthy, whole and prosperous? Then, so are you in this world. Listen to this message and know why Jesus is your real identity!
",https://www.josephprince.com/sermons/jesus-as-our-real-identity?sku=20060205M3
564,The Sure Ground For Unshakeable Peace ,29 January 2006,"The Bible says that Christ has become for us wisdom, righteousness, sanctification and redemption. Yet, many Christians still experience pain and suffering. Why? It is because many of us still look inward at ourselves instead of looking towards Christ and His finished work which is perfect and permanent. Listen to this message and discover how you can have unshakeable peace in your life today!
",https://www.josephprince.com/sermons/the-sure-ground-for-unshakeable-peace?sku=20060129M3
565,Visualization - New Age Or New Covenant? ,19 January 2006,"Many sports stars as well as movie stars have attributed their success to visualisation techniques. They saw themselves breaking records and earning big bucks long before they were successful. So is visualisation just a new-age practice to be shunned, or is it originally from the Bible? Listen to this message and see the truth for yourself!",https://www.josephprince.com/sermons/visualization-new-age-or-new-covenant?sku=20060119VJ
566,Give To God What's Natural And He'll Make It Supernatural! ,15 January 2006,NIL,https://www.josephprince.com/sermons/give-to-god-whats-natural-and-hell-make-it-supernatural?sku=20060115M3
567,God Is Not On The Frequency Of Condemnation ,13 January 2006,"Do you know that when you receive the devil&#039;s accusations and condemnation, you fall off God&#039;s radar? When you focus on your sins and condemn yourself, you are looking at your flesh and are on a different frequency from God. God does not see you in the flesh. He sees you in the Spirit, because you are in Christ. So listen to this message and stay on God&#039;s wavelength.
",https://www.josephprince.com/sermons/god-is-not-on-the-frequency-of-condemnation?sku=20060113VJ
568,When You Are Under Condemnation God's Favour Cannot Flow ,8 January 2006,"The Holy Spirit&#039;s witness to us today is this: &#039;Your sins and lawless deeds I will remember no more.&#039; But when we refuse to believe His testimony and, instead, believe the accusations and condemnation of the devil, God&#039;s favour cannot flow in our lives and &#039;rulings&#039; will not be for us. What should we do then? Listen to this message and find out.
",https://www.josephprince.com/sermons/when-you-are-under-condemnation-gods-favour-cannot-flow?sku=20060108VJ
569,The Root Cause Of Your Problem Is Condemnation ,6 January 2006,"When was the last time you had an evil day? If you look back and trace how it started, you will find that it all began when you received the accusations and condemnation of the devil. What brought about your evil day was not so much stress or fear, but the deepest root of all - condemnation. Listen to this message and root out condemnation in your life!
",https://www.josephprince.com/sermons/the-root-cause-of-your-problem-is-condemnation?sku=20060106VJ
570,The 'How' Of Receiving Comes From The Spirit ,1 January 2006,"God&#039;s Word tells you what belongs to you as a Christian. But how do you receive what is already promised to you for your particular situation? For example, how do you receive healing for the headache you have today? This is where the Holy Spirit comes in. He will tell you specifically what to do to receive healing in this particular instance. Listen to this message, and be led by the Spirit out of your problems and into God&#039;s promises.
",https://www.josephprince.com/sermons/the-how-of-receiving-comes-from-the-spirit?sku=20060101CJ
